id,question,answerable,retrieval_latency,recall_3,recall_5,generation_skipped,generation_skip_reason,generation_latency,citation_correct,insufficient_evidence_detected
q1,What is the penalty for offences where no separate punishment has been provided?,True,0.030228137969970703,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q2,Which organisations of a political nature are restricted from receiving foreign contribution?,True,0.04082012176513672,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q3,Can a candidate for election receive foreign contribution?,True,0.032634735107421875,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q4,What is the definition of foreign hospitality?,True,0.02416849136352539,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q5,Is a company engaged in the broadcast of audio news permitted to accept foreign contribution?,True,0.09646177291870117,0,1,True,Rate limit / Quota exceeded (502),0,0,0
q6,Can a foreign contribution be transferred to any other person?,True,0.025617361068725586,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q7,How long is a certificate of registration valid for?,True,0.026369094848632812,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q8,Does the Act apply to citizens of India outside India?,True,0.04082918167114258,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q9,What is the restriction on administrative expenses from foreign contribution?,True,0.04519391059875488,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q10,When can a person whose certificate has been cancelled apply again for registration?,True,0.02432394027709961,1,1,True,Rate limit / Quota exceeded (502),0,0,0
q11,What is the recipe for baking a chocolate cake?,False,0.02369523048400879,0,0,True,Rate limit / Quota exceeded (502),0,0,0
q12,How many goals did Lionel Messi score in the 2022 World Cup?,False,0.03162360191345215,0,0,True,Rate limit / Quota exceeded (502),0,0,0
q13,What is the minimum capital requirement to start a domestic bank in India?,False,0.04224562644958496,0,0,True,Rate limit / Quota exceeded (502),0,0,0
q14,How do you perform a successful heart transplant surgery?,False,0.030769824981689453,0,0,True,Rate limit / Quota exceeded (502),0,0,0
q15,What are the rules for investing in cryptocurrency under FEMA?,False,0.029131174087524414,0,0,True,Rate limit / Quota exceeded (502),0,0,0
